x	y	Sought Treatment	labels
8.859071	-24.334394	1	3
-4.828541	17.88795	1	5
9.51683	8.77426	1	6
18.21231	5.387002	0	6
-0.8986976	9.9599495	1	5
0.8432948	-9.434359	1	3
7.8384166	-2.343622	1	0
17.637094	17.821234	1	2
1.3997381	16.05585	0	5
15.958065	18.634687	1	2
-0.09889961	19.450615	0	5
14.776032	22.036697	1	2
-0.8089431	8.516145	1	0
-10.588398	-23.98111	0	1
-6.9050155	-4.0923223	1	4
-8.785885	-13.124973	0	4
-12.616528	-9.410949	0	4
-4.714637	11.027581	1	5
9.727007	21.525665	1	2
-21.35113	-1.0353675	1	4
18.699255	9.792379	0	6
14.505405	7.93344	1	6
7.9650674	-16.43558	0	3
-4.1816244	25.273106	1	5
-8.529016	-5.599082	1	4
-11.686288	-28.088446	0	1
-11.068759	18.042479	1	5
-3.3986707	7.757173	1	0
1.0139284	-5.4577556	0	0
-7.8187184	-28.324253	1	1
4.705339	18.957336	1	2
-18.913181	4.508159	0	7
-0.21492319	-1.904036	0	0
0.7277198	2.217438	0	0
-19.937996	-8.686056	1	4
-15.272231	4.058971	1	7
14.53972	-1.6864775	1	6
9.546355	3.7855017	0	6
12.380742	-13.865398	0	3
-13.074797	-8.630376	1	4
-20.940504	-5.8580756	1	4
20.538683	-9.599692	0	6
9.882198	0.1889586	0	6
-5.6408386	12.153791	0	5
-13.563025	10.122417	1	7
-14.35195	-26.981924	1	1
6.36613	-16.606533	0	3
-10.054357	2.3951693	0	7
10.579755	19.157808	1	2
-6.9855685	9.820755	0	7
16.401102	24.805134	1	2
11.755324	9.651992	0	2
12.667938	17.513433	1	2
-8.6723385	-26.830727	1	1
13.191878	3.5837007	0	6
19.223816	-6.1171503	0	6
-12.582961	22.213463	1	5
13.975101	9.79125	0	6
-10.177761	15.351187	1	5
8.5939045	10.687375	0	2
5.53829	23.280499	0	2
-1.0712854	-20.03195	1	3
19.262753	15.148751	0	2
-13.248045	-17.278288	1	1
17.049438	-11.352672	1	3
-17.423391	-10.035031	1	4
-13.524848	-20.357424	0	1
-7.1331754	-11.991021	0	4
16.530275	21.876307	1	2
5.1978874	5.432051	0	0
7.0531693	19.638693	1	2
11.945029	18.433693	0	2
-14.399185	-2.3626447	1	4
-11.066537	15.222581	0	7
-6.3202896	4.2101	1	7
-8.50253	-24.593996	1	1
17.213915	-7.9419484	0	6
-0.55090517	-10.107286	0	3
-0.34244493	-9.374649	0	3
1.5214962	-22.189615	0	3
0.9039027	-11.554525	1	3
-5.6226764	-5.967273	1	4
-0.04659727	13.999184	1	5
-11.873159	-4.9753036	1	4
12.6212845	22.666166	1	2
10.010429	-12.396383	0	3
9.416354	19.010902	0	2
-9.698506	-18.181732	1	1
0.7671541	-10.773328	0	3
0.06627299	24.602097	1	5
3.2136877	-15.101043	1	3
5.6124525	1.2612658	0	0
-6.0568857	15.155226	1	5
7.723618	-12.134754	0	3
-11.259522	7.752713	1	7
